ที่,name,ประเภทร้านอาหาร 1,ประเภทร้านอาหาร 2,ประเภทร้านอาหาร 3,สินค้า บริการ,เปิด-ปิด,phone,โทรศัพท์ 2,โทรศัพท์ 3,website,FB,latitude,longtitude,UTM_X,UTM_Y,subDistrict,district
11,ครัวบุญทิพย์,ร้านอาหารอีสาน,,,อาหารอีสาน,ทุกวัน 10:00 - 21:00 น.,09 3554 2020,,,https://www.wongnai.com/restaurants/157797tW-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B8%E0%B8%8D%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C,https://www.facebook.com/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9A%E0%B8%B8%E0%B8%8D%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C-594860810592003/,17.498453,101.725772,789452.1554,1936769.083,กุดป่อง,เมืองเลย
12,เจ๊ตุ้ม ส้มตำบ้านนาอ้อ,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง,ทุกวัน 08:30 - 17:00 น.,04 283 4896,,,https://www.wongnai.com/restaurants/152239LI-%E0%B9%80%E0%B8%88%E0%B9%8A%E0%B8%95%E0%B8%B8%E0%B9%89%E0%B8%A1-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%B2%E0%B8%AD%E0%B9%89%E0%B8%AD,,17.583065,101.73061,789831.5464,1946145.917,นาอ้อ,เมืองเลย
13,ข้าวต้มแรงงาน,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง,ทุกวัน 14:00 - 22:00 น.,0 4203 3050,,,https://www.wongnai.com/restaurants/264318pF-%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://www.facebook.com/people/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B9%81%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99/100057629041712/,17.486109,101.727925,789700.5035,1935405.46,กุดป่อง,เมืองเลย
14,พับเพียบ ส้มตำ,ร้านอาหารอีสาน,,,อาหารตามสั่ง,ทุกวัน 07:00 - 16:00 น. ,08 7232 2774,,,https://www.wongnai.com/restaurants/93594rP-%E0%B8%9E%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3,https://web.facebook.com/pages/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%9E%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%9E%E0%B8%B5%E0%B8%A2%E0%B8%9A-%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2/205389122874550?_rdc=1&_rdr,17.487069,101.724364,789320.5766,1935506.35,กุดป่อง,เมืองเลย
15,หน่อยตำซั่ว อาหารอีสาน,ร้านอาหารอีสาน,,,อาหารอีสาน,ทุกวัน 09:00 - 20:00 น.,08 1471 5904,08 0768 5259,,https://www.wongnai.com/restaurants/160299Sh-หน่อยตำซั่ว,,17.487711,101.727849,789689.8876,1935582.74,กุดป่อง,เมืองเลย
16,มะกัน,ร้านอาหารตามสั่ง,,,อาหารเช้า กาแฟ,ทุกวัน 06:00 - 11:00 น. หยุดวันจันทร์,0 4281 1379,,,https://www.wongnai.com/restaurants/17584Gq-มะกัน,,17.489119,101.729679,789882.1158,1935741.438,กุดป่อง,เมืองเลย
17,พิกุลลาบก้อย,ร้านอาหารอีสาน,,,อาหารตามสั่ง,ทุกวัน 08:00 - 21:00 น.,0 4283 0227,,,https://www.wongnai.com/restaurants/93543uo-%E0%B8%9E%E0%B8%B4%E0%B8%81%E0%B8%B8%E0%B8%A5%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%A2,https://web.facebook.com/pages/category/Thai-Restaurant/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B4%E0%B8%81%E0%B8%B8%E0%B8%A5%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%A2-1646440718782645/?_rdc=1&_rdr,17.489516,101.729433,789855.3453,1935785.025,กุดป่อง,เมืองเลย
18,ครัวมะเดื่อ,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง,ทุกวัน 17:00 - 24:00 น.,0 4286 1114,,,https://www.wongnai.com/restaurants/7074tN-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%A1%E0%B8%B0%E0%B9%80%E0%B8%94%E0%B8%B7%E0%B9%88%E0%B8%AD,https://www.facebook.com/KhrowMadua/,17.495823,101.718371,788669.9068,1936466.612,เมือง,เมืองเลย
19,รสเลิศ,ร้านอาหารตามสั่ง,,,อาหารเช้า กาแฟ,ทุกวัน 05:00 - 20:00 น.,0 4281 1123,0 4281 5470,,https://www.wongnai.com/restaurants/159333jE-รสเลิศ,,17.489973,101.732156,790143.9725,1935839.779,กุดป่อง,เมืองเลย
20,แพเพื่อนพ้อง,ร้านอาหารตามสั่ง,,,อาหารตามสั่ง,ทุกวัน 09:00 - 18:00 น.,08 9964 3938,,,https://www.wongnai.com/restaurants/174563Gc-แพเพื่อนพ้อง,https://web.facebook.com/paepuenpong.loei/?_rdc=1&_rdr,17.503476,101.603164,776417.1328,1937142.961,กกทอง,เมืองเลย
21,Driptionary,ร้านคาเฟ่,ร้านกาแฟ/ชา,,กาแฟ ชา,ทุกวัน 07:30 - 17:00 น.,0 4203 9647,,,https://www.wongnai.com/restaurants/366810nc-driptionary,https://web.facebook.com/driptionary/?_rdc=1&_rdr,17.44696,101.728544,789828.2936,1931071.287,นาอาน,เมืองเลย
22,Crystal Box Coffee & Wine Zone,ร้านคาเฟ่,เบเกอรี/เค้ก,,เครื่องดื่ม เบเกอรี่,ทุกวัน 08:00 - 18:00 น.,09 5665 9298,,,https://www.wongnai.com/restaurants/203159PA-crystal-box-coffee-wine-zone,https://web.facebook.com/crystalboxhotel/?rf=1574426432786785&_rdc=1&_rdr,17.501526,101.711591,787940.486,1937087.85,เมือง,เมืองเลย
23,Tiny Tea Café,ร้านคาเฟ่,,,เครื่องดื่ม เบเกอรี่,ทุกวัน 09:00 - 17:00 น. หยุดวันจันทร์,06 5591 6269,,,https://www.wongnai.com/restaurants/413632KG-tiny-tea-cafe,https://web.facebook.com/pages/category/Coffee-Shop/Tiny-Tea-Cafe-386112088662824/?_rdc=1&_rdr,17.499681,101.72409,789271.4858,1936902.506,กุดป่อง,เมืองเลย
24,ตะโขน เมืองเลย,ร้านคาเฟ่,ร้านอาหารอีสาน,,อาหาร เครื่องดื่ม ขนมหวาน,ทุกวัน 09:30 - 19:00 น.,09 1051 8338,,,https://www.wongnai.com/restaurants/379777Og-%E0%B8%95%E0%B8%B0%E0%B9%82%E0%B8%82%E0%B8%99-%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2-%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/takhonloei/?_rdc=1&_rdr,17.472733,101.730829,790030.3162,1933928.702,นาอาน,เมืองเลย
25,Memories Coffee,ร้านคาเฟ่,ร้านกาแฟ ชา,,อาหาร เครื่องดื่ม ขนมหวาน,ทุกวัน 10:00 - 19:00 น.,06 1525 4598,,,https://www.wongnai.com/restaurants/487511Wh-memories-coffee,https://web.facebook.com/pages/category/Cafe/Memories-coffee-101006711423444/?_rdc=1&_rdr,17.500152,101.74063,791028.2218,1936979.884,ชัยพฤกษ์,เมืองเลย
26,Up to you,ร้านคาเฟ่,อาหารตามสั่ง,,อาหาร เครื่องดื่ม,ทุกวัน 10:00 - 20:30 น.,08 8562 1162,,,https://www.wongnai.com/restaurants/810413yN-up-to-you-loei,https://web.facebook.com/uptoyouloeii/?_rdc=1&_rdr,17.475709,101.728832,789813.3739,1934255.208,กุดป่อง,เมืองเลย
27,Otop Loei The Best,ร้านคาเฟ่,ร้านกาแฟ,,เครื่องดื่ม,ทุกวัน 08:00 - 17:00 น. หยุดวันอาทิตย์,0 4203 3426,,,https://www.wongnai.com/restaurants/299637KT-otop-loei-the-best,https://web.facebook.com/OtopLoeiTheBest/?_rdc=1&_rdr,17.48732,101.732277,790161.0436,1935546.185,กุดป่อง,เมืองเลย
28,ธารธรรม ฟาร์มเมด,ร้านคาเฟ่,,,เครื่องดื่ม อาหาร สลัด พิซซ่า กิจกรรมทำพิซซ่า,จันทร์ และ พฤหัสบดี - อาทิตย์ 10:00 - 19:00 น.,08 1408 2004,09 5586 2256,,https://www.wongnai.com/restaurants/456936QR-%E0%B8%98%E0%B8%B2%E0%B8%A3%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1-%E0%B8%9F%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94-by-%E0%B9%84%E0%B8%A3%E0%B9%88%E0%B8%98%E0%B8%B2%E0%B8%A3%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1-1,https://web.facebook.com/thanthamfarm/?_rdc=1&_rdr,17.640695,101.743782,791137.9836,1952547.845,ศรีสองรัก,เมืองเลย
29,Doodduem Homemade (ดูดดื่ม โฮมเมด),ร้านคาเฟ่,ร้านกาแฟ ชา,เบเกอรี เค้ก,เครื่องดื่ม เบเกอรี่,ทุกวัน 10:00 - 17:00 น.,06 3145 9295,,,https://www.wongnai.com/restaurants/463283cI-doodduem-homemade,https://web.facebook.com/Doodduem65/?_rdc=1&_rdr,17.49679,101.722339,789090.0083,1936579.714,น้ำหมาน,เมืองเลย
30,whanwhan cake & coffee,ร้านคาเฟ่,,,เครื่องดื่ม เบเกอรี่,ทุกวัน 08:00 - 18:00 น.,08 8561 5949,08 0755 5560,,https://www.wongnai.com/restaurants/483119Rh-whanwhan-cake-coffee,https://web.facebook.com/pages/category/Coffee-Shop/whan-whan-cake-coffee-2119906914686823/?_rdc=1&_rdr,17.590153,101.723758,789092.5295,1946920.33,นาอ้อ,เมืองเลย
31,ก๋วยเตี๋ยวฟาดปาก,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,จันทร์ - ศุกร์ 09:00 - 14:30 น.,08 5742 2155,,,https://www.wongnai.com/restaurants/195043aA-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%9F%E0%B8%B2%E0%B8%94%E0%B8%9B%E0%B8%B2%E0%B8%81,https://web.facebook.com/pages/category/Deli/%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3-%E0%B8%9F%E0%B8%B2%E0%B8%94%E0%B8%9B%E0%B8%B2%E0%B8%81-728964937180002/?_rdc=1&_rdr,17.492246,101.727619,789658.2566,1936084.568,กุดป่อง,เมืองเลย
32,เย็นตาโฟรสเด็ด โรงหนังอัมรินทร์,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 16:00 - 24:00 น.,08 6218 1192,,,https://www.wongnai.com/restaurants/134368sO-%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99%E0%B8%95%E0%B8%B2%E0%B9%82%E0%B8%9F%E0%B8%A3%E0%B8%AA%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%94-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%A1%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C,https://web.facebook.com/pages/category/Fast-Food-Restaurant/%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99%E0%B8%95%E0%B8%B2%E0%B9%82%E0%B8%9F%E0%B8%A3%E0%B8%AA%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%94%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%87%E0%B8%AD%E0%B8%A1%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%E0%B8%AD%E0%B8%A1%E0%B8%A3%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C-290758404760193/?_rdc=1&_rdr,17.488958,101.728892,789798.7424,1935722.412,กุดป่อง,เมืองเลย
33,บังฮิตก๋วยเตี๋ยวไก่มะระ,ร้านก๋วยเตี๋ยว,,,ก๋วยเตี๋ยว,ทุกวัน 12:00 - 02:00 น.,09 2895 0786,08 0172 6047,,https://www.wongnai.com/restaurants/201596ST-%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B8%AE%E0%B8%B4%E0%B8%95%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%A1%E0%B8%B0%E0%B8%A3%E0%B8%B0-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B8%AE%E0%B8%B4%E0%B8%95-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%A1%E0%B8%B0%E0%B8%A3%E0%B8%B0-%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B8%A2%E0%B8%B3-465684400926103/?_rdc=1&_rdr,17.488995,101.728792,789788.0575,1935726.357,กุดป่อง,เมืองเลย
34,โรงแรมเลยพาเลซ,ร้านอาหารนานาชาติ,,,อาหาร เครื่องดื่ม,ทุกวัน 12:00 - 21:00 น.,0 4281 5668,,,https://www.wongnai.com/restaurants/38435Vr-%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B8%A2%E0%B8%9E%E0%B8%B2%E0%B9%80%E0%B8%A5%E0%B8%8B,https://web.facebook.com/loeipalacehotel/?_rdc=1&_rdr,17.48443,101.734609,790413.4443,1935229.718,กุดป่อง,เมืองเลย
35,ส้มตำกะยำแซ่บ,ร้านอาหารอีสาน,,,อาหาร,ทุกวัน 11:00 - 21:00 น.,08 6855 3990,,,https://www.wongnai.com/restaurants/143468wW-%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%81%E0%B8%B0%E0%B8%A2%E0%B8%B3%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%9A-%E0%B8%95%E0%B8%A5%E0%B8%B2%E0%B8%94%E0%B9%84%E0%B8%97%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/SmtaKaYaSaeB/?_rdc=1&_rdr,17.490595,101.723354,789207.669,1935895.262,กุดป่อง,เมืองเลย
36,Baboo Café,ร้านอาหารอีสาน,ร้านกาแฟ ชา,,อาหาร เครื่องดื่ม เบเกอรี่,ทุกวัน 07:30 - 16:30 น.,06 1629 5563,,,https://www.wongnai.com/restaurants/228512yL-baboo-cafe-%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%A0%E0%B8%B1%E0%B8%8F%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/BOONBUNT/,17.53856,101.723807,789179.7582,1941207.296,เมือง,เมืองเลย
37,ผู้ชาย ขายหอย ปลาร้านัวเมืองเลย,ร้านอาหารอีสาน,,,อาหาร,ทุกวัน 10:00 - 23:00 น.,09 5168 8493,,,https://www.wongnai.com/restaurants/323782sV-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%8A%E0%B8%B2%E0%B8%A2-%E0%B8%82%E0%B8%B2%E0%B8%A2%E0%B8%AB%E0%B8%AD%E0%B8%A2-%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%A2-%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%88%E0%B8%B1%E0%B8%87%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/Phuchaikaihoi/,17.53154046,101.7261817,789443.1821,1940433.612,เมือง,เมืองเลย
38,The Witcht Café ร้านแม่มดเมืองเลย,ร้านอาหารอีสาน,,,อาหาร ขนมหวาน,ทุกวัน 10:30 - 20:00 น. หยุดวันจันทร์,08 0640 4915,,,https://www.wongnai.com/restaurants/260739Be-the-witch-t-cafe-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/thewitchtloei/?_rdc=1&_rdr,17.528991,101.72759,789596.8484,1940153.445,เมือง,เมืองเลย
39,ตำแซ่บมอเลย,ร้านอาหารอีสาน,,,อาหาร ส้มตำ,ทุกวัน 10:00 - 17:30 น. หยุดวันจันทร์,06 1262 9636,,,https://www.wongnai.com/restaurants/323608nC-%E0%B8%95%E0%B8%B3%E0%B9%81%E0%B8%8B%E0%B9%88%E0%B8%9A%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/katayzapzaa/?_rdc=1&_rdr,17.531049,101.726331,789459.8245,1940379.417,เมือง,เมืองเลย
40,ร้านข้าวซอย,ร้านอาหาร,,,ข้าวซอย,ทุกวัน 09:00 - 17:00 น. หยุดวันพุธ,09 5646 9965,,,https://www.wongnai.com/restaurants/291545OV-%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7-%E0%B8%81%E0%B8%B0-%E0%B8%99%E0%B9%89%E0%B8%B3-kao-ka-nam,,17.50329,101.729502,789840.8153,1937310.381,กุดป่อง,เมืองเลย
41,จ๋อยลาบเป็ด,ร้านอาหารอีสาน,,,อาหาร,ทุกวัน 07:00 - 16:00 น. หยุดวันอาทิตย์,0 4281 1618,,,https://www.wongnai.com/restaurants/144220Yh-%E0%B8%88%E0%B9%8B%E0%B8%AD%E0%B8%A2%E0%B8%A5%E0%B8%B2%E0%B8%9A%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94,,17.493663,101.726551,789542.5239,1936239.853,กุดป่อง,เมืองเลย
42,ขาหมูลำใย ณ เลย,ร้านอาหารจานเดียว,ร้านก๋วยเตี๋ยว,,อาหาร ก๋วยเตี๋ยว,ทุกวัน 07:30 - 17:00 น. หยุดวันอาทิตย์,08 9 549 8069,,,https://www.wongnai.com/restaurants/263634wR-%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2-%E0%B8%93-%E0%B9%80%E0%B8%A5%E0%B8%A2,https://web.facebook.com/pages/category/Fast-Food-Restaurant/%E0%B8%82%E0%B8%B2%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%A2-%E0%B8%93-%E0%B9%80%E0%B8%A5%E0%B8%A2-116965793015628/?_rdc=1&_rdr,17.489632,101.727911,789693.43,1935795.554,กุดป่อง,เมืองเลย
43,BAAN KUA,ร้านอาหารจานเดียว,ร้านก๋วยเตี๋ยว,ร้านกาแฟ ชา,อาหาร ก๋วยเตี๋ยว เครื่องดื่ม,ทุกวัน 10:00 - 19:00 น.,08 5464 7669,,,https://www.wongnai.com/restaurants/540569jK-baan-kua-%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%B1%E0%B9%88%E0%B8%A7,https://web.facebook.com/baankualoei/?_rdc=1&_rdr,17.494144,101.724427,789316.0663,1936289.886,กุดป่อง,เมืองเลย
